fecha_entrada,fecha_salida,direccion,retorno_pct,retorno_R,stop_pct,resultado
2024-02-11 03:35:00,2024-02-11 04:33:00,LARGO,0.229,0.457,0.501,GANADOR
2024-02-11 04:46:00,2024-02-11 05:49:00,LARGO,-0.143,-0.285,0.501,PERDEDOR
2024-02-11 07:11:00,2024-02-11 07:42:00,LARGO,-0.248,-0.496,0.501,PERDEDOR
2024-02-12 00:26:00,2024-02-12 00:33:00,LARGO,-0.163,-0.325,0.501,PERDEDOR
2024-02-12 01:01:00,2024-02-12 01:09:00,LARGO,-0.588,-1.18,0.499,PERDEDOR
2024-02-12 14:46:00,2024-02-12 15:11:00,LARGO,0.513,1.022,0.502,GANADOR
2024-02-14 08:55:00,2024-02-14 09:11:00,LARGO,1.416,2.809,0.504,GANADOR
2024-02-14 09:16:00,2024-02-14 10:13:00,LARGO,2.001,3.933,0.509,GANADOR
2024-02-14 10:35:00,2024-02-14 11:02:00,LARGO,1.589,3.114,0.51,GANADOR
2024-03-04 00:37:00,2024-03-04 00:45:00,LARGO,-0.161,-0.321,0.501,PERDEDOR
2024-03-04 07:41:00,2024-03-04 07:53:00,LARGO,-0.101,-0.202,0.501,PERDEDOR
2024-03-04 08:01:00,2024-03-04 08:48:00,LARGO,1.784,3.523,0.506,GANADOR
2024-03-05 14:46:00,2024-03-05 15:05:00,LARGO,0.321,0.641,0.502,GANADOR
2024-03-05 19:56:00,2024-03-05 19:56:00,CORTO,-0.609,-1.196,0.509,PERDEDOR
2024-03-08 15:27:00,2024-03-08 15:31:00,LARGO,0.743,1.476,0.503,GANADOR
2024-03-08 20:03:00,2024-03-08 20:06:00,LARGO,-0.106,-0.212,0.5,PERDEDOR
2024-03-08 20:31:00,2024-03-08 21:18:00,LARGO,-0.174,-0.348,0.5,PERDEDOR
2024-03-11 07:13:00,2024-03-11 07:13:00,LARGO,-0.603,-1.199,0.503,PERDEDOR
2024-03-11 07:16:00,2024-03-11 07:42:00,LARGO,0.944,1.876,0.503,GANADOR
2024-03-11 07:46:00,2024-03-11 07:55:00,LARGO,0.951,1.88,0.506,GANADOR
2024-03-12 14:07:00,2024-03-12 14:09:00,LARGO,-0.593,-1.203,0.493,PERDEDOR
2024-03-13 07:12:00,2024-03-13 07:32:00,LARGO,-0.421,-0.841,0.5,PERDEDOR
2024-03-13 08:08:00,2024-03-13 09:47:00,LARGO,0.254,0.507,0.501,GANADOR
2024-03-13 15:16:00,2024-03-13 15:24:00,LARGO,-0.479,-0.962,0.498,PERDEDOR
2024-03-14 07:01:00,2024-03-14 07:15:00,LARGO,-0.443,-0.888,0.499,PERDEDOR
2024-03-15 03:27:00,2024-03-15 03:27:00,CORTO,-0.603,-1.199,0.503,PERDEDOR
2024-03-15 04:41:00,2024-03-15 04:43:00,CORTO,-0.599,-1.2,0.499,PERDEDOR
2024-03-15 08:51:00,2024-03-15 08:56:00,CORTO,-0.455,-0.911,0.499,PERDEDOR
2024-03-16 23:12:00,2024-03-16 23:19:00,CORTO,0.605,1.212,0.499,GANADOR
2024-03-17 07:20:00,2024-03-17 07:24:00,CORTO,-0.205,-0.408,0.504,PERDEDOR
2024-03-19 07:04:00,2024-03-19 07:18:00,CORTO,0.904,1.825,0.495,GANADOR
2024-03-19 08:22:00,2024-03-19 08:32:00,CORTO,1.036,2.101,0.493,GANADOR
2024-03-19 08:55:00,2024-03-19 08:58:00,CORTO,1.61,3.276,0.491,GANADOR
2024-03-20 04:35:00,2024-03-20 04:40:00,CORTO,-0.024,-0.047,0.498,PERDEDOR
2024-03-20 04:51:00,2024-03-20 04:56:00,CORTO,-0.51,-1.018,0.501,PERDEDOR
2024-03-20 05:13:00,2024-03-20 05:19:00,CORTO,0.025,0.05,0.498,GANADOR
2024-03-25 14:01:00,2024-03-25 14:05:00,LARGO,-0.603,-1.199,0.503,PERDEDOR
2024-03-25 14:16:00,2024-03-25 14:29:00,LARGO,1.172,2.311,0.507,GANADOR
2024-03-25 14:32:00,2024-03-25 14:36:00,LARGO,1.048,2.069,0.506,GANADOR
2024-03-26 07:23:00,2024-03-26 07:37:00,LARGO,-0.098,-0.195,0.502,PERDEDOR
2024-03-26 09:49:00,2024-03-26 10:27:00,LARGO,-0.5,-1.001,0.5,PERDEDOR
2024-03-27 13:29:00,2024-03-27 13:33:00,LARGO,-0.346,-0.692,0.5,PERDEDOR
2024-04-01 15:12:00,2024-04-01 15:15:00,CORTO,-0.317,-0.633,0.501,PERDEDOR
2024-04-01 15:57:00,2024-04-01 16:01:00,CORTO,-0.176,-0.353,0.499,PERDEDOR
2024-04-01 17:24:00,2024-04-01 17:51:00,CORTO,-0.396,-0.791,0.501,PERDEDOR
